,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x161922c304bffecaf266eb2abf09322014f8eb2ff905717304898bed069e4383,5652688,1526918731,0x0819d14b3521c020657992a155307e72cce337b6,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.037285198000000000,NULL,0x,0
1,0x080a6eefba0e12285090fc086d41c6e8d93ef43f020fc43cbc8be6a97815178e,5652715,1526919135,0x8e81ed30af5566215fc1940454d52e5576d855ee,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.037634830999999990,NULL,0x,0
2,0xd9d5757813f26a7cb812349b833fa8191d14c4526605638e7c819aacb9266151,5652770,1526919736,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x35808383e76461b9577aaeaa7f92257a6c958f08,0.004000000000000000,NULL,0x,0
3,0xa1e6238763a08f262cfdb657865c9840dc9309e09b7c1e6ba4e87b3e6bb56f07,5652902,1526921894,0xc3a679bf74b473481b7f5b54567c581954f31d83,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.100960648000000000,NULL,0x,0
4,0xd4830d3efcb6bbd3b0fe35a9d36c126f4b87e583061b002e6c8febd19bffcd91,5652942,1526922462,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x6fcc53a0bcf0b8958eb91009d83662640a8dcab0,0.003000000000000000,NULL,0x,0
5,0x09cf3a1d0f5597e49bff171e1c7ef47a82e94fabc1d863773beac776a5d6efd8,5653048,1526924102,0xe72ffeeafdc64a5d1871f5f12a9a2f299d70c91a,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.007467622883442429,NULL,0x,0
6,0x2c7931a487f51bafa5b37f8315e1a0a34852a4a339bd0a44e5efa94549094430,5653132,1526925500,0xbf471cc7379befe3612cec5b6f24344415da4f24,0xd38fd15fd7fbb18b681ed8beea8fba43bd1ed27d,0.004000000000000000,NULL,0x,0
7,0xe2858bbc2a22ee64469c36decf947cc17c19086c2acecb31d3337c74639d5da5,5653252,1526927453,0x7f2beb938e3cc917780d3a8bc709941f023e79cd,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.028916663969257694,NULL,0x,0
8,0x5f2fe241af56d9bcb50cd662e427d2cf6ad1d94b26d3c64b351d100103e03fc7,5653324,1526928452,0xf149abbeb7df4e795712e1c41c5596b19126426b,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.039147526999999998,NULL,0x,0
9,0xcd3b1b5be0fcfd5d9cf6d83756789e5b299a2cda1e6d62833ef30a7571468976,5653351,1526928892,0xbf471cc7379befe3612cec5b6f24344415da4f24,0xd527c9db2aaf0b234cfae8088c64d8c5ab17fbb4,0.002000000000000000,NULL,0x,0
10,0xcb2268be7abd194224e7debae540e3587aef967f80e9b9a76809d0ff310ae0f4,5653576,1526932309,0x5415b0cb9fed7f500527d48de51e15827c404ad1,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.025599770000000000,NULL,0x,0
11,0x430560cb4a1c1e2bfc8a17e1c6ccc36f4750b075de1cd77762d8f51ebc2e3d0c,5653664,1526933602,0x4e083101964aaf3584b024be39a9e3f4d7bca3c7,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.050986574305260800,NULL,0x,0
12,0xd4476941775981c07e0f203e437d96330144ae660d08edb47b3dbaab8b6e5f0f,5653783,1526935370,0xbf471cc7379befe3612cec5b6f24344415da4f24,0xd830c5d990a67f8b521d9557ba63e6ef29288805,0.002000000000000000,NULL,0x,0
13,0xc63df0288b56ce280373ff64cd40998a6cb93b9067f8f7a70ed5310d912bae68,5653850,1526936408,0xed3ba2256c6fc1a5c47f586bca2fe77cc2147412,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.024715866000000000,NULL,0x,0
14,0x739ec894a4c12580404cd4e08e14b3563877010df34f139a65d72e080c81bada,5653872,1526936807,0xb963553a09dc5d6241419a5e2d17fed81148c451,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.069299763976383673,NULL,0x,0
15,0x89cb25aea499849096a00b74f25d5a5abf496a1a24685986a739a663739407c4,5654077,1526939878,0x60aa4fef56d604e1dcd327e04a849ab66c4705b1,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.245803320000000000,NULL,0x,0
16,0x21a3e97b016b3c88afcb9e7cddc69095987e4108c2aead93ea02200f50cea2f0,5654099,1526940225,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x60aa4fef56d604e1dcd327e04a849ab66c4705b1,0.002000000000000000,NULL,0x,0
17,0x3d93697acf01a0be7bc4dcbd602116efd5542cc62124c788c5aead7cd01fb505,5654199,1526941713,0x35bb80fa23bb8d9914751aa8d3613a55d266ae21,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.027015258656632252,NULL,0x,0
18,0x01243e41b228db0798f3868ce37ca059cd08ef863ba02f8e04da5f606f532039,5654214,1526941926,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x3bcf85ec02a4db00bb5b1551cae39d18d0411530,0.002000000000000000,NULL,0x,0
19,0x357558f0f9fc7345d1973b90caa5edb7dc46d4570be96b4a58203a62430ed971,5654235,1526942165,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x3bcf85ec02a4db00bb5b1551cae39d18d0411530,0.003000000000000000,NULL,0x,0
20,0xba2ed56dde0d676cd344a5e871b361e3de03e1466655c3efd3e543da0744ed88,5654473,1526946124,0xbf471cc7379befe3612cec5b6f24344415da4f24,0xa1c370cd0bee00b32be9585c0d37ff458a99bb30,0.003000000000000000,NULL,0x,0
21,0x94ac745ebff28c5d9d94662281da4ccbc98040c0b767ff711eba9da66f47cc68,5654572,1526947599,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x2b43d9e8fbd1f899e67932d547fe0318deb77607,0.003000000000000000,NULL,0x,0
22,0x6d29567ee5cc3840430e00f6ea097feb441358d81f5d59453c938c9f4c055708,5655689,1526964286,0xb2028881f9586f8b7fe8b7a7d0cf5fdc3aba053c,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.073953194900000000,NULL,0x,0
23,0xb1a607c53297622ed34fe9814d1a6d3168bce93e36458fbe2754da6c2dda7679,5655878,1526967436,0x7aaaf43ac29abef47e4663fe4d7c2a518a32b6ea,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.104329199238876291,NULL,0x,0
24,0x432e4f7a49bcfbc2e231ae877074ae2ea534328247b695251a948a33adeed015,5655937,1526968302,0x27db7b975b2b741e087faf36e5bac57d364b9cf8,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.029225033080749999,NULL,0x,0
25,0xa2851ab28449894e4d082e39d64810843cf5be5bf35bb9f52f4901b51b5e9eba,5655964,1526968814,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x03a2f54bf2a64358a4013dcbcafd5e2bd7df1089,0.003000000000000000,NULL,0x,0
26,0x0ab7d60e104808437f75a4ffc3b7861c89de1079e8f01d4bf6b0b62b50e26e73,5656016,1526969634,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x260e428c9c197004de31bcd2ac8163f02f6f74d7,0.003000000000000000,NULL,0x,0
27,0xeed044623f16e48b9e056dcbdd329cc5fdb9eecafd54d7d7509e716057dfda68,5656308,1526974198,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x2008e3057bd734e10ad13c9eae45ff132abc1722,0E-18,NULL,0x095ea7b30000000000000000000000002a0c0dbecc7e4d658f48e01e3fa353f44050c20800000000000000000000000000000000000000000000000000000031f1324100,0
28,0xb4d7f70e0c1df3d8ddd9e2b8b385aae98a1e36dfa0e346841ece1368422400d5,5656311,1526974232,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,0E-18,NULL,0x338b5dea0000000000000000000000002008e3057bd734e10ad13c9eae45ff132abc172200000000000000000000000000000000000000000000000000000031f1324100,0
29,0x4c4d919d3c8b5a7ddacca7c6c4d67b31f594b20c4e4eac233fd667f1bdca6eb1,5656431,1526976074,0xbf471cc7379befe3612cec5b6f24344415da4f24,0xe25bcec5d3801ce3a794079bf94adf1b8ccd802d,0E-18,NULL,0x095ea7b30000000000000000000000002a0c0dbecc7e4d658f48e01e3fa353f44050c20800000000000000000000000000000000000000000000003635c9adc5dea00000,0
30,0x58f9bbec9c33de123c0cbb7b39645d1f5780d4144f01e143065db367df7a00fc,5656432,1526976078,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,0E-18,NULL,0x338b5dea000000000000000000000000e25bcec5d3801ce3a794079bf94adf1b8ccd802d00000000000000000000000000000000000000000000003635c9adc5dea00000,0
0,0xd7a0a0838f7ed505bc73b12e598ebd50cb2e5255e77cfcf22f062e89a860fe7e,5656495,1526977001,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,0xbf471cc7379befe3612cec5b6f24344415da4f24,1.784314773209241379,NULL,NULL,0
31,0xe256c99bb99d3660ed88a888cbcb1d9fbad6c1b5a17c107dd5f7d8feb777ba16,5656535,1526977629,0xbf471cc7379befe3612cec5b6f24344415da4f24,0xc4f6e5756025e103b1190e8e8483d68b2b96afc7,2.600000000000000000,NULL,0x,0
32,0x9cd2a392486b0610264e55ed5e9ffd41c7893dd8d6435679f30e1bfed046da8f,5657768,1526996519,0x96db0381882a6ceb88df16548e6b639e2c0bb0f2,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.034477529363817676,NULL,0x,0
33,0x446d186689a9c36b61729c0c1f57578082c7e76c710fb3e2118627505435874e,5657856,1526997698,0xad0b1112116f1519281eec7c9c6c20f9ad81282e,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.025055717000000000,NULL,0x,0
34,0xa182d37255a576e731ba1a91e805a0dd8d9d1446ce122f24d2eebd5305c68741,5657872,1526997957,0xbf471cc7379befe3612cec5b6f24344415da4f24,0xc4b826a0e77cd47915f4b6032c3c7081e1b5279f,0.003000000000000000,NULL,0x,0
35,0xb8ef1d688e79b18a83e6a0057d3c68864a72de7cc6050b330bbbf9598bdceb53,5657997,1527000071,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x4f5f295e76a452f1211bfe3ffde5f6ee2805f9fa,0.002000000000000000,NULL,0x,0
36,0xa02932ced26dabb332ec308f25da5350ba8b1893afd4463473d67422cbe4b0c5,5662277,1527067207,0xbf471cc7379befe3612cec5b6f24344415da4f24,0x4f0bde05f4035e79b91e7b85aee2840d12041fa8,0.002000000000000000,NULL,0x,0
37,0x52efe5257ed24076536d2b8bc34038d035b60069a5211275a378f78a3b6f5344,5662385,1527068783,0xdbed4d49710a5ff31b59a7f261d62a61d31644d9,0xbf471cc7379befe3612cec5b6f24344415da4f24,0.020637986881250000,NULL,0x,0
