,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xc18e38468f0d3f0a2263dc93352c124e2e1c87367c5d534eb89e27b3a9443673,5099487,1518767333,0x7ed1e469fcb3ee19c0366d829e291451be638e59,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0.497400000000000000,NULL,0x,0
1,0x4f0794304a1998808a982451d67007f6f4af95a8687afb9e7f73c3f0535c564b,5099898,1518773260,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0xbb89585b35086c4c74a3ac7bbfdcca1b9bf37477,0.496645747673663700,NULL,0x,0
2,0x1833090eb02a510687f430a26019b271a84074db4b864dd13e9f8903e3f5a13f,5165279,1519733043,0x5f92459fdfca9509081d780b300b880b150f8883,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0.019617000000000000,NULL,0x,0
3,0xe9098d097bafce0907ae1b3aca28c78555ab80da9a75dafb2a3621a331868a4c,5165354,1519734222,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0x5daa197af4a53fc7a44d976e88985ee4edb0c19b,0.019203397871811672,NULL,0x,0
4,0xb75f0783bf512b3f487d066a3f03a51b0c9e9b63c1f7c8024d7c6eef082fc8e1,5177558,1519912722,0x06652cf24aad36240eee6aab0840a54ac5f477cf,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0.010364006955400223,NULL,0x,0
5,0x7cbb65ff2f099f5343dc9050b04cb8e2b29641f31983e90dd4ad81c3c4fda76c,5180038,1519949371,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0x5628b9289157013ead72a70ab520bd81055c1003,0.010076984947719178,NULL,0x,0
6,0x869881da505c4094b9ba5b55b4a950864d51822f2162666dc43fe710ab8812d1,5365848,1522655501,0xdb4a7fdada4c6e1369038253529f12913df7a5d8,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0.107902499611861520,NULL,0x,0
7,0x82ba348e9ca175f6c5c3df5e131ed4f426749a39759e8fddbae76a87a6836841,5366196,1522660714,0x702d725a0b4e6cb3c3cabd7a3562e57546bc9179,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0.816513995560205100,NULL,0x,0
8,0x04087925ed7e5d944832e2a08e409349a5b825817b2de9314717b439bb60b382,5366243,1522661269,0x702d725a0b4e6cb3c3cabd7a3562e57546bc9179,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0.102332465676517120,NULL,0x,0
9,0x569c37af4be3cd4b112ade3c683406275859d51f42ea4770ed112262e00c74db,5368117,1522688317,0x12472d5e53a018a23b5e422fdd0729de30bb6e9a,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0.074700000000000000,NULL,0x,0
10,0x3fe8de9667a98802d8bd5e815635e38b579ce70cc5a1b5c1adf3733de2716c02,5368146,1522688825,0x864489e24abdc2a2f620c3b0ec58870de6484b18,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0.140040690000000000,NULL,0x,0
11,0xf27b494e1cb5a685eb2ae16122b3f60acd7246345809e3d10c792fa0f4993bb1,5372614,1522752491,0x3cdb2091b08abd43033aeec8f455fef69f29c042,0xbb8059d1a8d61dbc6f7ca36c597955c2110ae259,0.174150000000000000,NULL,0x,0
