,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xe985ba21524a09f8359d58069f2879ae88bc3723b91c75484b05b6350cc497c8,6844355,1544210845,0x0be500ccc4b589a6e50eb10e5c8e311f85b34e3d,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,1.078605950000000000,NULL,0x,0
1,0xd042dda1fba7d5c6d3618f3ba05e206f2c4638985ad19830b3e30098b6ef0b00,6845189,1544223024,0xae34b154ada796cfebe8a60d265d266ef809fb05,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,1.051888494500000000,NULL,0x,0
2,0x29f3c4aae8ade14ec48d8837c23284bd88b6fb76d6d1f1e728157543cd07bb0a,6847563,1544257029,0x42add67669ac65c767fb7afe6a5befb0fb4682f4,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0.020000000000000000,NULL,0x,0
0,0xc03a8e43c4b488f391d40d0bb010d6c08567d47491a6df46ee623d0c65ebddbb,6938567,1545571144,0x1522900b6dafac587d499a862861c0869be6e428,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,2.000000000000000000,NULL,NULL,0
3,0xb77af57bca7cdca7871463cd493bfb77ba252e0689130444989c03a18829c245,6940393,1545598265,0x257e8c5cd4523b5eb7c451fa25d7eb3b6baf0e6f,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0.004884440000000000,NULL,0x,0
4,0x1efc9cd374e9eabc83fa8e2bca1c053284443f3445a109dd4f147f84b9a77dd3,6946739,1545690282,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0.596471960000000000,NULL,0x,0
5,0x7cbe79aa3f0fadfa51b78f74e835536eeeecca65d362e53534003ac55089d0f3,7021958,1546807064,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0xcc6ec41e882bec626914cea0c2cc876429a717be,4.746222844500000000,NULL,0x,0
6,0xae195c5a215e6a9ec37cdb0ed7b00b8604898c6f71820bbaad3f02f5501621a1,7099367,1548002864,0x15fc36228ec5a5a9b5e0c2bafc7577b2a067960b,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,3.000000000000000000,NULL,0x,0
7,0xffe7d4fa122e9d35d79004e7e8e553a07b8c2fb19a5e7c8ad6342e4255e8b814,7104869,1548093843,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0xcb37118cd8ea90a7a5561310ebca9456736ec021,2.999852643000000000,NULL,0x,0
8,0x51a392b94b7a300e48fa168f56447187efbd6ae55ea5ee3c728a86b8f71f7b5d,7117368,1548307175,0x5a57eb32a338d71dd20ac27e810e1a8f074c0725,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,3.000000000000000000,NULL,0x,0
9,0x7f60183cbcd81b3434509e4c8a89310f75dc33775ffc6249ad48e9fa64a42163,7120766,1548364649,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0xcb37118cd8ea90a7a5561310ebca9456736ec021,2.999852643000000000,NULL,0x,0
10,0xde7dc3fb20270828a8e628f192f7bf961ee96de500eae3b53fce5746ad0d2cfc,7456899,1553774713,0xf32682d5f99ba4143532618d6f516859a055ea06,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,1.000000000000000000,NULL,0x,0
11,0xb8b0067aa649cdb051105d0810004e75234a0e7e891fd6714fb618e794c7c9eb,7473032,1553993143,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0x9567bb5b12a0911d95ee0f09f214e3509be0a00e,0.937750000000000000,NULL,0x,0
12,0x9aeff8688f384dfd700dee0cd06eb204054d7ebb59b7ee92fa8ea1e54fcb0a63,7560306,1555168108,0x588a8da6e82848039e0456cb3eed2bfff0c6d1e8,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0.005409840000000000,NULL,0x,0
13,0xea729f5bacbd50eb27b17cabc300db0c4276b62758c91988739afd6bba1c76bb,7564797,1555227992,0x46340b20830761efd32832a74d7169b29feb9758,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,10.429803750000001024,NULL,0x,0
1,0x8a972d4ddeae309b8acfe1e06162c64779c468a1038d0955f5495111fe8b2ed7,7566083,1555245001,0x0a1820f0ff7dc9fce0a4f0b589ee14ddae88233c,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,1.000000000000000000,NULL,NULL,0
14,0x765f1c009d84b66f19f5c9a256c1e4f8f01d5b78f5dc72f4c24b316b3123cfff,7642428,1556274196,0x1edd6305faf57d05262420e875d948605afd62f1,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,1.260000000000000000,NULL,0x,0
15,0xd32913dfe4004f15c9952484c54a299683bc83e59f2051d94014bfa9942d3b84,7721024,1557331931,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0xd78be3c497fc57c9f37f3aef5ced0c4515ae3caf,0.120833000000000000,NULL,0x,0
16,0xf65ee5eec1be46a797ed245fc6040a2ed7b07cb1ef5ad692b5e710a5668f51ae,7736508,1557541166,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0x7b18e63342d43233918f7dd280276d747b64adf4,0.116562000000000000,NULL,0x,0
17,0x35485abdc625e8af38295172634fcc5160db4d5b8be6aaed8ae44fb18256b420,7741563,1557609174,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0x81141525bc5dc4b4de6aa558865c2fba672a90b3,0.035852130000000000,NULL,0x,0
18,0xbb664ef97ccc354aa3d2fe968fab31a479b1e73f6834047f6fa49bbdcf992be4,7746990,1557682469,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0xa26ab59d9195a700c073a0aaa19ff58c4bc0f01a,0.085232510000000000,NULL,0x,0
19,0x27730db00aa47de4ed5c5d39a08ccbe59334a93fa0095befb191ad86de32bb20,7750154,1557724933,0x5b2b8b9c674e67f718bb54cc62c2a2e13308229c,0xda23d471cc2562d0e48bdf2d26dd6d2a001809a9,12.396673950000001024,NULL,0x,0
