,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x6bfceef6a30b0052e11e291fb5fc5ebcaa992a0df7b0e18e299c0e418b114186,4269296,1505301101,0x8e88b887c24a6b19841a3de2f6746029dc91a881,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0.010000000000000000,NULL,NULL,0
1,0x5fda2eb70ffa7c2a60398d2612ddb97386cfddb26cf7ddf1176f45cb3ed3e230,4269334,1505301882,0x0a4318c4ee4417b733183929d947f9785c0e1739,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0.010000000000000000,NULL,NULL,0
2,0x45f6d227ee7676e9a1e3bb6fc5cb169bb15186cbf787a970564c56930f245caf,4269355,1505302390,0x7a18cfc4a36e48163034e51a9ed19d4bdea05f6f,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0.010000000000000000,NULL,NULL,0
3,0xb15fe15e8c7dc5f7c1dd05d6bb8d839d2e6c09cf72656031fb5f257244c337d6,4269368,1505302599,0x7a18cfc4a36e48163034e51a9ed19d4bdea05f6f,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0.100000000000000000,NULL,NULL,0
4,0x3065eddfa04c8f4ef7a5c61f337c10a339aeb7f0aadeb21b0a524f0300dc1391,4272928,1505388781,0x7a18cfc4a36e48163034e51a9ed19d4bdea05f6f,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,3.744507554600000000,NULL,NULL,0
5,0x04690d6447fe849bf56a845831e34882f64c456de268e814b20a321b587745d5,4273100,1505393295,0x7a18cfc4a36e48163034e51a9ed19d4bdea05f6f,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0.100000000000000000,NULL,NULL,0
6,0x0dfbd7b4574ff48e9553d688551b8a1d8aa94af1ae77199cb63d68a8c721d48a,4273104,1505393374,0x7a18cfc4a36e48163034e51a9ed19d4bdea05f6f,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0.100000000000000000,NULL,NULL,0
7,0xaf8a7adc1d52f38f540cc3f3aeac2c1b6c7d3726f5065ea5c82fe315c3c7e327,4273282,1505397475,0xf957c36656dc13e84befc5d9c9b390f662e92cec,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0.020000000000000000,NULL,NULL,0
8,0xf47c3400d2fa291d679943190f5dd9f5d351ba65636ed675a009593d61bb3d5a,4274006,1505414635,0xf957c36656dc13e84befc5d9c9b390f662e92cec,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,2.369399377640169887,NULL,NULL,0
9,0x609faf1ebd74179b0de812d8243fc4ff7b434e3d33ceadb3b3ad556e8ad01727,4274036,1505415707,0xf957c36656dc13e84befc5d9c9b390f662e92cec,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,1.000000000000000000,NULL,NULL,0
10,0xd999bef100ec6b09ff23a70666634611194dd0c4eef965612324dcf9209afbe6,4274047,1505415982,0xf957c36656dc13e84befc5d9c9b390f662e92cec,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0.400000000000000000,NULL,NULL,0
0,0xeb3954968774c6cf5fee1a47150ca5e40aae806cb75735116bddffabbdd9405c,4320605,1506649758,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0x2ecf5c6e08f4d96a782ef6639356147a44b050f6,0.010000000000000000,NULL,0x,0
2,0x2a32220739e60c7b3b547012923c39fd0ab3d05a222889a831b76854663cca2a,4320700,1506653212,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0x2ecf5c6e08f4d96a782ef6639356147a44b050f6,0.150000000000000000,NULL,0x,0
1,0xc0ee4d30a0c655ecb255332bc1a2b59dc808af8e3c3ac6b7b29e5f7c19f984e3,4320700,1506653212,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0x2ecf5c6e08f4d96a782ef6639356147a44b050f6,0.030000000000000000,NULL,0x,0
3,0x6f86ae71b8f3afee1384e639ff804bedde5ddfa6e1292c7da6e3b6c1c8136686,4353930,1507654438,0x447f1fd99ba9825c714bb364a94e597df4bfa55a,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,9.900000000000000000,NULL,0x,0
4,0xd3498d45a479f7e574742bbb1b71300fe975751c55b85128ac8439b4554dcb36,4353934,1507654503,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0x9a420040f35e3b48363515a2365617f6f6980f4b,10.000000000000000000,NULL,0x,0
5,0xba926fabaa97df94190aace5d8b271a5fc8c4b653d5f9bc9fe7a32ff2f58d1ca,4353936,1507654545,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0x9a420040f35e3b48363515a2365617f6f6980f4b,6.000000000000000000,NULL,0x,0
6,0x9c1496b5d3c56c05d200cbaba1b702141ded2f7d8780047d2efd5c52dfabd62b,4353939,1507654626,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0x9a420040f35e3b48363515a2365617f6f6980f4b,0.100000000000000000,NULL,0x,0
7,0xb7b65557de2b87b672e332a85fe96656ced0c26b4e56cc979f3f8b2602a17fea,4353941,1507654670,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0x9a420040f35e3b48363515a2365617f6f6980f4b,0.250000000000000000,NULL,0x,0
8,0x78981d6154a579e86092fb8749251b339e96cefe9e3dcde3088a91823d97fb59,4353943,1507654749,0xb3b3c0316114de7c41d07f85737ede52a3fdecff,0x9a420040f35e3b48363515a2365617f6f6980f4b,1.000000000000000000,NULL,0x,0
