,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x367c096e5619aa1f940ac494dfd2af1c25d83c4395d41aa815c2e8ffeead64a9,5389602,1522995832,0x68329d351d2a0a885a4857195d697cce2dab6177,0xf87d8c781979e4cfe14da4366617197bb6f1f235,78.363924830737525714,NULL,0x,0
1,0x43df0364bfec35da01739163286e9405e36365cd423b17f2513aef6c101296d1,5389621,1522996087,0xf87d8c781979e4cfe14da4366617197bb6f1f235,0xf9e15c6b12973b5287ab3946ecfd60264783631a,78.363504830737525714,NULL,0x,0
2,0xb746e8fb87488f96e0f7748e25e549707e0e25730da6b9a44383442e935300ca,5493755,1524517478,0x991b1153705020757766faf5a014b94efa4bc08b,0xf87d8c781979e4cfe14da4366617197bb6f1f235,0.103900646742424761,NULL,0x,0
3,0x8f92b539f0a1efcde3da3a4d181cf8489aa81471e2b4e52dc24347433ee2da24,5493758,1524517574,0xb32f219dcc49d98836442badf62c1089f637a65d,0xf87d8c781979e4cfe14da4366617197bb6f1f235,0.098356004000000000,NULL,0x,0
4,0x4dfa362f77b101fd8681b608dac538054ebcb04343ca63bdfd4b1430adb324c5,5536393,1525156578,0xedc16fcc117e45011d8cffb2f0747cddf35c7557,0xf87d8c781979e4cfe14da4366617197bb6f1f235,0.015214147000000000,NULL,0x,0
5,0xe04288432f4cbebd3c1a16ce3f668843c3379a1041399ead9028eda6d0aecc8d,5536462,1525157584,0xc0a7f9864f4b42031c4101771ccba8d3e4de57a8,0xf87d8c781979e4cfe14da4366617197bb6f1f235,0.037630079000000000,NULL,0x,0
6,0x81033d6f4a092ef23f330583b40c79b3b1c06fab2faab0797bcd24c7678ae2b9,5536582,1525159309,0x77607bc86c3edc982356e1650f5bad8ff81dfbb1,0xf87d8c781979e4cfe14da4366617197bb6f1f235,0.022091980000000000,NULL,0x,0
7,0x9d38cb83140f07e69c0c6a87df5b7f5d2e3d6c0530c64122fcc05ac56290a4de,5536649,1525160227,0xb812576d64b99d3868b61d604c5b4521527eda72,0xf87d8c781979e4cfe14da4366617197bb6f1f235,1.190284251298208421,NULL,0x,0
8,0x32e0bb51bdc51557d690e115f9771d3ce6a4bad4b22bb272f391e71678c98612,5536677,1525160633,0xf87d8c781979e4cfe14da4366617197bb6f1f235,0x012971ef549a1c11d918b17594118e40c69f64f9,0.012000000000000000,NULL,0x,0
9,0x181875329a263463b248ed73b9cea3447127a037fc0310f50a4e4f795083a850,5536765,1525161940,0x012971ef549a1c11d918b17594118e40c69f64f9,0xf87d8c781979e4cfe14da4366617197bb6f1f235,0.010135030000000000,NULL,0x,0
